2026-02-26 01:15:19,321 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ff00>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:19,337 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44e8160>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:19,354 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44e8380>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:21,369 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44e85a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:21,386 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ff00>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:21,403 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fdf0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:23,429 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fce0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:23,444 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f9b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:23,463 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f680>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:25,477 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f8a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:25,491 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f350>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:25,506 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f240>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:27,521 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f130>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:27,537 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ee00>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:27,552 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ef10>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:29,568 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44d4160>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:29,582 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44d4380>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:29,597 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44d45a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:31,616 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee44d47c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:31,634 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ef10>: Failed to establish a new connection: [Errno 111] Connection refused'))
